experiment_id,variable,value,metric,metric_value
exp1,gamma,0.30,test_loss,0.002729
exp1,gamma,0.30,Tr(H),9.96
exp1,gamma,0.30,Tr(Sigma),0.107
exp1,gamma,0.30,kappa(H),2.92e7
exp1,gamma,0.50,test_loss,0.002771
exp1,gamma,0.50,Tr(H),9.96
exp1,gamma,0.50,Tr(Sigma),0.103
exp1,gamma,0.50,kappa(H),2.05e7
exp1,gamma,0.80,test_loss,0.002599
exp1,gamma,0.80,Tr(H),9.96
exp1,gamma,0.80,Tr(Sigma),0.0965
exp1,gamma,0.80,kappa(H),8.26e7
exp1,gamma,1.00,test_loss,0.002573
exp1,gamma,1.00,Tr(H),9.96
exp1,gamma,1.00,Tr(Sigma),0.0995
exp1,gamma,1.00,kappa(H),1.30e9
exp1,gamma,1.20,test_loss,0.002501
exp1,gamma,1.20,Tr(H),9.96
exp1,gamma,1.20,Tr(Sigma),0.0952
exp1,gamma,1.20,kappa(H),4.15e8
exp1,gamma,1.50,test_loss,0.002494
exp1,gamma,1.50,Tr(H),9.96
exp1,gamma,1.50,Tr(Sigma),0.0951
exp1,gamma,1.50,kappa(H),3.08e8
exp1,gamma,2.00,test_loss,0.002536
exp1,gamma,2.00,Tr(H),9.96
exp1,gamma,2.00,Tr(Sigma),0.0995
exp1,gamma,2.00,kappa(H),4.41e6
exp1,gamma,3.00,test_loss,0.002610
exp1,gamma,3.00,Tr(H),9.96
exp1,gamma,3.00,Tr(Sigma),0.106
exp1,gamma,3.00,kappa(H),2.82e8
exp1,gamma,5.00,test_loss,0.002481
exp1,gamma,5.00,Tr(H),9.96
exp1,gamma,5.00,Tr(Sigma),0.104
exp1,gamma,5.00,kappa(H),1.04e8
exp2,init_lr,0.001,lambda_max,1.294
exp2,init_lr,0.001,escape_epoch,0
exp2,init_lr,0.001,initial_test_loss,0.002657
exp2,init_lr,0.005,lambda_max,1.294
exp2,init_lr,0.005,escape_epoch,0
exp2,init_lr,0.005,initial_test_loss,0.002800
exp2,init_lr,0.01,lambda_max,1.294
exp2,init_lr,0.01,escape_epoch,0
exp2,init_lr,0.01,initial_test_loss,0.002895
exp2,init_lr,0.03,lambda_max,1.294
exp2,init_lr,0.03,escape_epoch,0
exp2,init_lr,0.03,initial_test_loss,0.003677
exp2,init_lr,0.05,lambda_max,1.294
exp2,init_lr,0.05,escape_epoch,0
exp2,init_lr,0.05,initial_test_loss,0.011613
exp3,B,1,gamma_at_peak,0.50
exp3,B,1,peak_test_loss,0.002771
exp3,B,1,min_test_loss,0.002481
exp3,B,4,gamma_at_peak,2.00
exp3,B,4,peak_test_loss,0.002678
exp3,B,4,min_test_loss,0.002586
exp3,B,16,gamma_at_peak,8.00
exp3,B,16,peak_test_loss,0.002663
exp3,B,16,min_test_loss,0.002649
exp3,B,64,gamma_at_peak,0.50
exp3,B,64,peak_test_loss,0.002667
exp3,B,64,min_test_loss,0.002656
exp3,B,350,gamma_at_peak,2.00
exp3,B,350,peak_test_loss,0.003059
exp3,B,350,min_test_loss,0.003037
exp4,gamma,0.50,alignment,0.054114
exp4,gamma,0.50,alignment_ratio,3.0
exp4,gamma,0.50,eigval_corr,-0.148
exp4,gamma,0.50,test_loss,0.002746
exp4,gamma,0.80,alignment,0.017472
exp4,gamma,0.80,alignment_ratio,1.5
exp4,gamma,0.80,eigval_corr,-0.271
exp4,gamma,0.80,test_loss,0.002730
exp4,gamma,1.00,alignment,0.011302
exp4,gamma,1.00,alignment_ratio,1.2
exp4,gamma,1.00,eigval_corr,-0.230
exp4,gamma,1.00,test_loss,0.002767
exp4,gamma,1.50,alignment,0.042794
exp4,gamma,1.50,alignment_ratio,7.1
exp4,gamma,1.50,eigval_corr,0.365
exp4,gamma,1.50,test_loss,0.002741
exp4,gamma,2.00,alignment,0.031040
exp4,gamma,2.00,alignment_ratio,6.8
exp4,gamma,2.00,eigval_corr,-0.439
exp4,gamma,2.00,test_loss,0.002712
exp4,gamma,3.00,alignment,0.052730
exp4,gamma,3.00,alignment_ratio,17.4
exp4,gamma,3.00,eigval_corr,0.010
exp4,gamma,3.00,test_loss,0.002662
